web-scraper-order,web-scraper-start-url,titre,prix,adresse,image_url-src,pagination,pagination-href
"1751105737-1","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","150 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5387119_uploaded_image2_1750623407.jpeg","",""
"1751105737-2","http://sn.coinafrique.com/categorie/chiens","Bichon maltaise","150 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5386842_uploaded_image1_1750611237.jpg","",""
"1751105737-3","http://sn.coinafrique.com/categorie/chiens","Chien Boerboell","650 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_5386827_uploaded_image1_1750610656.jpg","",""
"1751105737-4","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","150 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5392067_uploaded_image1_1750871110.jpg","",""
"1751105737-5","http://sn.coinafrique.com/categorie/chiens","Chiots Dogue allemand","420 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5389860_uploaded_image1_1750769886.jpg","",""
"1751105737-6","http://sn.coinafrique.com/categorie/chiens","Berger Malinois Métis","200 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5389289_uploaded_image1_1750742046.jpg","",""
"1751105737-7","http://sn.coinafrique.com/categorie/chiens","Chiots Berger Malinois","120 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5388773_uploaded_image1_1750703707.jpg","",""
"1751105737-8","http://sn.coinafrique.com/categorie/chiens","Chiot Husky male","350 000CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5385417_uploaded_image1_1750511517.jpg","",""
"1751105737-9","http://sn.coinafrique.com/categorie/chiens","Chiot Berger malinois","300 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5384862_uploaded_image1_1750465161.jpg","",""
"1751105737-10","http://sn.coinafrique.com/categorie/chiens","Chiots Bichons Maltais","150 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5383547_uploaded_image1_1750415126.jpg","",""
"1751105737-11","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","300 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_5381567_uploaded_image1_1750307998.jpg","",""
"1751105737-12","http://sn.coinafrique.com/categorie/chiens","Chiots Pitbul","115 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5380527_uploaded_image1_1750253308.jpg","",""
"1751105737-13","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5379393_uploaded_image1_1750190380.jpg","",""
"1751105737-14","http://sn.coinafrique.com/categorie/chiens","Chiot Berger Allemand","160 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5379204_uploaded_image1_1750179653.jpg","",""
"1751105737-15","http://sn.coinafrique.com/categorie/chiens","Chiots Bichons maltais","175 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5377145_uploaded_image1_1750084686.jpg","",""
"1751105737-16","http://sn.coinafrique.com/categorie/chiens","Chiot Berger allemand","150 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5376933_uploaded_image1_1750077698.jpg","",""
"1751105737-17","http://sn.coinafrique.com/categorie/chiens","Chiots Husky","300 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5375008_uploaded_image1_1749939361.jpg","",""
"1751105737-18","http://sn.coinafrique.com/categorie/chiens","Chiots Dogue Allemand","450 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5374155_uploaded_image1_1749900191.jpg","",""
"1751105737-19","http://sn.coinafrique.com/categorie/chiens","Chiot Husky","300 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5368418_uploaded_image1_1749578532.jpg","",""
