web-scraper-order,web-scraper-start-url,titre,prix,adresse,image_url-src,pagination,pagination-href
"1751051085-1","https://sn.coinafrique.com/categorie/autres-animaux","Dindons et dindes","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5374129_uploaded_image1_1749898688.jpg","",""
"1751051085-2","https://sn.coinafrique.com/categorie/autres-animaux","Poisson Aquarium","7 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5370855_uploaded_image1_1749722665.jpg","",""
"1751051085-3","https://sn.coinafrique.com/categorie/autres-animaux","Vache Laitiers Montbéliard","1 700 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5367966_uploaded_image1_1749560465.jpg","",""
"1751051085-4","https://sn.coinafrique.com/categorie/autres-animaux","Veau","6 500 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5363603_uploaded_image1_1749256640.jpg","",""
"1751051085-5","https://sn.coinafrique.com/categorie/autres-animaux","Dinde","30 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5350940_uploaded_image1_1748524952.jpg","",""
"1751051085-6","https://sn.coinafrique.com/categorie/autres-animaux","Bouc","80 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5350345_uploaded_image1_1748476176.jpg","",""
"1751051085-7","https://sn.coinafrique.com/categorie/autres-animaux","Chaton","350 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344588_uploaded_image1_1748177635.jpg","",""
"1751051085-8","https://sn.coinafrique.com/categorie/autres-animaux","Chaton Angora turc","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5341379_uploaded_image1_1747965234.jpg","",""
"1751051085-9","https://sn.coinafrique.com/categorie/autres-animaux","Chatons","200 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5330509_uploaded_image1_1747360436.jpg","",""
"1751051085-10","https://sn.coinafrique.com/categorie/autres-animaux","Perroquet Rose Gorge","50 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329928_uploaded_image1_1747330648.jpg","",""
"1751051085-11","https://sn.coinafrique.com/categorie/autres-animaux","Cailles","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5321576_uploaded_image1_1746893786.jpg","",""
"1751051085-12","https://sn.coinafrique.com/categorie/autres-animaux","Boeuf","350 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5317378_uploaded_image1_1746698849.jpg","",""
"1751051085-13","https://sn.coinafrique.com/categorie/autres-animaux","Bœuf","675 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5316702_uploaded_image1_1746649118.jpg","",""
"1751051085-14","https://sn.coinafrique.com/categorie/autres-animaux","Bœuf","600 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5316699_uploaded_image1_1746649073.jpg","",""
"1751051085-15","https://sn.coinafrique.com/categorie/autres-animaux","Chèvre race ndama","350 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5315130_uploaded_image1_1746566615.jpg","",""
"1751051085-16","https://sn.coinafrique.com/categorie/autres-animaux","Vaches","325CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5308237_uploaded_image1_1746189283.jpg","",""
"1751051085-17","https://sn.coinafrique.com/categorie/autres-animaux","Canards","7 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_5300877_uploaded_image1_1745779858.jpg","",""
"1751051085-18","https://sn.coinafrique.com/categorie/autres-animaux","Cheval","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5300026_uploaded_image1_1745701177.jpg","",""
"1751051085-19","https://sn.coinafrique.com/categorie/autres-animaux","Chat Persan","450 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5297087_uploaded_image1_1745527617.jpg","",""
"1751051085-20","https://sn.coinafrique.com/categorie/autres-animaux","Couple pintades adultes","35 000CFA","Sicap foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5295025_uploaded_image1_1745431940.jpg","",""
"1751051085-21","https://sn.coinafrique.com/categorie/autres-animaux","Vache","315CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5285045_uploaded_image1_1744823609.jpg","",""
"1751051085-22","https://sn.coinafrique.com/categorie/autres-animaux","Boeuf","900CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5282926_uploaded_image1_1744724656.jpg","",""
"1751051085-23","https://sn.coinafrique.com/categorie/autres-animaux","Chaton","375 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_5278827_uploaded_image1_1744477884.jpg","",""
