web-scraper-order,web-scraper-start-url,titre,prix,adresse,image_url-src,pagination,pagination-href
"1751050245-1","https://sn.coinafrique.com/categorie/moutons","Ladoum Azowate","125 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5390051_uploaded_image1_1750779449.jpg","",""
"1751050245-2","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","450 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5362962_uploaded_image1_1749209010.jpg","",""
"1751050245-3","https://sn.coinafrique.com/categorie/moutons","Mouton","130 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5362037_uploaded_image1_1749137690.jpg","",""
"1751050245-4","https://sn.coinafrique.com/categorie/moutons","Mouton","300 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5358627_uploaded_image1_1748961442.jpg","",""
"1751050245-5","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","500CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_5355058_uploaded_image1_1748800702.jpg","",""
"1751050245-6","https://sn.coinafrique.com/categorie/moutons","Mouton de tabaski","200 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5351264_uploaded_image1_1748542637.jpg","",""
"1751050245-7","https://sn.coinafrique.com/categorie/moutons","Mouton","225 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5349513_uploaded_image1_1748440101.jpg","",""
"1751050245-8","https://sn.coinafrique.com/categorie/moutons","Moutons","195 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5349203_uploaded_image1_1748427888.jpg","",""
"1751050245-9","https://sn.coinafrique.com/categorie/moutons","Mouton","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5348484_uploaded_image1_1748376667.jpg","",""
"1751050245-10","https://sn.coinafrique.com/categorie/moutons","Mouton","180 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5347115_uploaded_image1_1748302103.jpg","",""
"1751050245-11","https://sn.coinafrique.com/categorie/moutons","Mouton","210 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5345154_uploaded_image1_1748207367.jpg","",""
"1751050245-12","https://sn.coinafrique.com/categorie/moutons","Mouton","250 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344905_uploaded_image1_1748196909.jpg","",""
"1751050245-13","https://sn.coinafrique.com/categorie/moutons","Mouton ladoum","600 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344681_uploaded_image1_1748183751.jpg","",""
"1751050245-14","https://sn.coinafrique.com/categorie/moutons","Mouton Azawate","150 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5344575_uploaded_image1_1748175550.jpg","",""
"1751050245-15","https://sn.coinafrique.com/categorie/moutons","Mouton de tabaski","100 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5344147_uploaded_image1_1748126098.jpg","",""
"1751050245-16","https://sn.coinafrique.com/categorie/moutons","Moutons","100 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5344061_uploaded_image1_1748118408.jpg","",""
"1751050245-17","https://sn.coinafrique.com/categorie/moutons","Moutons","225 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342599_uploaded_image1_1748032725.jpg","",""
