web-scraper-order,web-scraper-start-url,titre,prix,adresse,image_url-src,pagination,pagination-href
"1751050924-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Coqs colorés","8 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_5394586_uploaded_image1_1751020727.jpg","",""
"1751050924-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet pondeuses","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_5393356_uploaded_image1_1750945446.jpg","",""
"1751050924-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapins","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5384185_uploaded_image1_1750435313.jpg","",""
"1751050924-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Couple voyageur","15 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_5381347_uploaded_image1_1750286641.jpg","",""
"1751050924-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin","25 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5381090_uploaded_image1_1750274032.jpg","",""
"1751050924-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin","12 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5381084_uploaded_image1_1750273882.jpg","",""
"1751050924-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin de Race Papillon","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5368095_uploaded_image1_1749565038.jpg","",""
"1751050924-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapin Métis californien","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5364052_uploaded_image1_1749295289.jpg","",""
"1751050924-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poulet Padovani","45 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_5353407_uploaded_image1_1748690625.jpg","",""
"1751050924-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Poussins Brahma","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5352324_uploaded_image1_1748613214.jpg","",""
"1751050924-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons","Lapins Métis Californien","10 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_5350705_uploaded_image1_1748514803.jpg","",""
